Date/Time (UTC), Raw X, Raw Y, Raw Z
2017-01-10 00:00:25.18,-372.70,3508.51,1409.91
2017-01-10 00:00:40.16,-372.49,3511.04,1410.51
2017-01-10 00:00:55.14,-369.81,3509.83,1410.75
2017-01-10 00:01:10.12,-368.16,3509.75,1412.85
2017-01-10 00:01:25.09,-372.16,3512.34,1406.26
2017-01-10 00:01:40.07,-370.83,3510.71,1406.05
2017-01-10 00:01:55.05,-366.51,3511.65,1409.09
2017-01-10 00:02:10.03,-368.16,3511.81,1410.56
2017-01-10 00:02:25.00,-368.98,3510.10,1409.82
2017-01-10 00:02:39.98,-369.84,3509.91,1410.04
2017-01-10 00:02:54.96,-366.81,3511.16,1410.48
2017-01-10 00:03:09.94,-368.58,3510.57,1411.11
2017-01-10 00:03:24.92,-370.79,3509.93,1410.68
2017-01-10 00:03:39.89,-369.61,3510.89,1413.86
2017-01-10 00:03:54.87,-368.28,3510.17,1412.25
2017-01-10 00:04:09.85,-369.64,3510.33,1413.25
2017-01-10 00:04:24.83,-373.80,3510.28,1417.09
2017-01-10 00:04:39.80,-370.89,3512.25,1414.99
2017-01-10 00:04:54.78,-369.51,3508.86,1413.41
2017-01-10 00:05:09.76,-370.33,3511.95,1413.48
2017-01-10 00:05:24.74,-368.49,3511.73,1411.40
2017-01-10 00:05:39.71,-367.82,3511.38,1413.48
2017-01-10 00:05:54.69,-368.11,3512.57,1410.70
2017-01-10 00:06:09.67,-369.15,3511.17,1415.66
2017-01-10 00:06:24.65,-366.71,3511.74,1415.10
2017-01-10 00:06:39.62,-367.92,3510.30,1414.27
2017-01-10 00:06:54.60,-367.32,3512.40,1411.27
2017-01-10 00:07:09.58,-366.18,3511.42,1411.92
2017-01-10 00:07:24.56,-367.67,3510.70,1413.48
2017-01-10 00:07:39.53,-364.64,3510.45,1413.68
2017-01-10 00:07:54.51,-362.34,3511.23,1413.24
2017-01-10 00:08:09.49,-363.05,3510.73,1410.78
2017-01-10 00:08:24.47,-365.68,3509.15,1413.43
2017-01-10 00:08:39.45,-364.81,3508.90,1415.23
2017-01-10 00:08:54.42,-361.79,3508.25,1415.19
2017-01-10 00:09:09.40,-362.49,3509.60,1410.88
2017-01-10 00:09:24.38,-363.68,3509.45,1411.73
2017-01-10 00:09:39.36,-363.88,3509.19,1415.13
2017-01-10 00:09:54.33,-364.11,3509.41,1413.18
2017-01-10 00:10:09.31,-365.57,3509.36,1413.73
2017-01-10 00:10:24.29,-363.46,3508.80,1412.98
2017-01-10 00:10:39.27,-362.52,3509.13,1411.65
2017-01-10 00:10:54.24,-362.50,3508.24,1413.31
2017-01-10 00:11:09.22,-364.78,3509.16,1411.40
2017-01-10 00:11:24.20,-362.66,3509.41,1412.09
2017-01-10 00:11:39.18,-360.71,3507.63,1411.62
2017-01-10 00:11:54.15,-360.18,3506.96,1414.42
2017-01-10 00:12:09.13,-362.38,3510.30,1412.31
2017-01-10 00:12:24.11,-361.34,3506.68,1415.18
2017-01-10 00:12:39.09,-362.37,3505.27,1413.10
2017-01-10 00:12:54.07,-362.95,3503.77,1415.43
2017-01-10 00:13:09.04,-363.71,3503.59,1417.76
2017-01-10 00:13:24.02,-364.14,3505.35,1414.64
2017-01-10 00:13:39.00,-359.41,3506.09,1414.50
2017-01-10 00:13:53.98,-358.52,3504.69,1411.72
2017-01-10 00:14:08.95,-360.01,3503.17,1414.77
2017-01-10 00:14:23.93,-360.10,3505.86,1415.76
2017-01-10 00:14:38.91,-362.27,3505.82,1409.98
2017-01-10 00:14:53.89,-362.88,3508.87,1411.13
2017-01-10 00:15:08.86,-362.83,3505.66,1409.62
2017-01-10 00:15:23.84,-359.79,3505.22,1408.88
2017-01-10 00:15:38.82,-358.09,3505.07,1410.60
2017-01-10 00:15:53.80,-362.66,3507.91,1407.12
2017-01-10 00:16:08.78,-363.64,3507.66,1406.25
2017-01-10 00:16:23.75,-359.88,3505.06,1412.56
2017-01-10 00:16:38.73,-358.50,3504.24,1412.98
2017-01-10 00:16:53.71,-357.37,3502.92,1411.38
2017-01-10 00:17:08.69,-363.23,3508.04,1414.81
2017-01-10 00:17:23.66,-364.32,3506.66,1414.99
2017-01-10 00:17:38.64,-359.74,3504.39,1415.02
2017-01-10 00:17:53.62,-360.06,3505.47,1416.47
2017-01-10 00:18:08.60,-363.74,3508.64,1416.07
2017-01-10 00:18:23.57,-361.56,3505.21,1415.75
2017-01-10 00:18:38.55,-359.82,3506.90,1419.44
2017-01-10 00:18:53.53,-358.98,3508.31,1419.50
2017-01-10 00:19:08.51,-360.98,3505.98,1418.96
2017-01-10 00:19:23.48,-359.86,3503.90,1415.56
2017-01-10 00:19:38.46,-358.20,3503.66,1412.89
2017-01-10 00:19:53.44,-357.52,3505.03,1414.94
2017-01-10 00:20:08.42,-361.37,3504.09,1414.42
2017-01-10 00:20:23.39,-358.36,3504.74,1412.42
2017-01-10 00:20:38.37,-357.59,3504.05,1411.37
2017-01-10 00:20:53.35,-361.47,3504.93,1411.14
2017-01-10 00:21:08.33,-361.92,3506.41,1413.95
2017-01-10 00:21:23.30,-359.00,3505.08,1412.49
2017-01-10 00:21:38.28,-356.89,3504.62,1413.40
2017-01-10 00:21:53.26,-356.88,3505.73,1409.71
2017-01-10 00:22:08.24,-361.77,3506.95,1415.68
2017-01-10 00:22:23.21,-356.98,3505.43,1412.18
2017-01-10 00:22:38.19,-356.46,3505.94,1412.36
2017-01-10 00:22:53.17,-358.69,3506.55,1412.32
2017-01-10 00:23:08.15,-359.02,3505.12,1414.24
2017-01-10 00:23:23.12,-357.39,3502.04,1412.11
2017-01-10 00:23:38.10,-357.33,3501.78,1413.02
2017-01-10 00:23:53.08,-356.22,3504.65,1409.79
2017-01-10 00:24:08.06,-356.28,3501.74,1408.91
2017-01-10 00:24:23.03,-354.88,3502.12,1409.18
2017-01-10 00:24:38.01,-354.69,3502.57,1407.22
2017-01-10 00:24:52.99,-357.65,3504.99,1407.59
2017-01-10 00:25:07.97,-357.04,3505.92,1406.86
2017-01-10 00:25:22.95,-354.90,3503.49,1407.34
2017-01-10 00:25:37.92,-355.85,3502.50,1407.39
2017-01-10 00:25:52.90,-353.88,3503.02,1411.66
2017-01-10 00:26:07.88,-354.25,3505.23,1410.81
2017-01-10 00:26:22.85,-353.37,3504.32,1414.78
2017-01-10 00:26:37.83,-355.77,3504.60,1416.59
2017-01-10 00:26:52.81,-352.93,3503.96,1414.83
2017-01-10 00:27:07.79,-355.15,3505.82,1411.83
2017-01-10 00:27:22.77,-357.04,3506.01,1413.42
2017-01-10 00:27:37.74,-358.08,3506.01,1414.73
2017-01-10 00:27:52.72,-355.59,3506.79,1410.73
2017-01-10 00:28:07.70,-354.74,3506.24,1411.31
2017-01-10 00:28:22.68,-354.62,3505.52,1410.59
2017-01-10 00:28:37.65,-357.54,3505.81,1411.78
2017-01-10 00:28:52.63,-356.61,3507.10,1411.83
2017-01-10 00:29:07.61,-360.61,3505.33,1415.22
2017-01-10 00:29:22.59,-359.93,3504.36,1412.15
2017-01-10 00:29:37.57,-359.93,3505.20,1414.28
2017-01-10 00:29:52.54,-357.95,3506.19,1418.10
2017-01-10 00:30:07.52,-358.38,3505.12,1412.33
2017-01-10 00:30:22.50,-358.33,3505.61,1413.59
2017-01-10 00:30:37.48,-358.61,3504.42,1411.22
2017-01-10 00:30:52.45,-358.26,3506.02,1412.70
2017-01-10 00:31:07.43,-356.84,3505.64,1414.69
2017-01-10 00:31:22.41,-355.32,3504.94,1412.42
2017-01-10 00:31:37.39,-353.66,3504.83,1412.70
2017-01-10 00:31:52.36,-355.24,3507.29,1414.40
2017-01-10 00:32:07.34,-356.07,3508.25,1414.65
2017-01-10 00:32:22.32,-353.05,3506.51,1414.64
2017-01-10 00:32:37.30,-352.96,3507.52,1416.07
2017-01-10 00:32:52.28,-351.58,3507.91,1416.58
2017-01-10 00:33:07.25,-353.75,3506.88,1415.52
2017-01-10 00:33:22.23,-352.54,3505.01,1413.34
2017-01-10 00:33:37.21,-353.63,3505.19,1412.32
2017-01-10 00:33:52.19,-353.08,3504.78,1413.98
2017-01-10 00:34:07.17,-349.47,3505.65,1413.32
2017-01-10 00:34:22.14,-352.17,3504.97,1412.63
2017-01-10 00:34:37.12,-353.19,3504.04,1414.85
2017-01-10 00:34:52.10,-351.95,3503.04,1412.58
2017-01-10 00:35:07.08,-350.76,3504.53,1417.02
2017-01-10 00:35:22.06,-354.29,3506.02,1413.58
2017-01-10 00:35:37.04,-357.51,3507.50,1414.26
2017-01-10 00:35:52.01,-357.90,3506.22,1416.40
2017-01-10 00:36:06.99,-356.48,3505.72,1412.92
2017-01-10 00:36:21.97,-356.75,3506.46,1412.40
2017-01-10 00:36:36.94,-357.50,3505.87,1415.43
